TheTime	B_DO	B_K	B_LevelControl_in	B_LevelControl_out	B_MFC	B_NH4	B_pH	B_Pump_acid	B_Pump_base	B_Pump_effluent	B_Pump_effluent_speed	B_Pump_influent	B_Pump_influent_speed	B_Stirrer	B_T_DO	B_T_ISE	B_Valve_air	B_Valve_N2	B_slopeNH4
42424.78857	0	0.433	-0.39		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.004680201
42424.78863	0	0.432	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.004406600
42424.78869	0	0.432	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.004148136
42424.78875	0	0.431	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.003899820
42424.78881	0	0.430	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.003662450
42424.78886	0	0.430	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.003418284
42424.78892	0	0.429	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.003189574
42424.78898	0	0.429	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.002994849
42424.78904	0	0.428	-0.40		0	26.7	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.002814910
42424.78910	0	0.427	-0.41		0	26.7	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.002649588
42424.78915	0	0.427	-0.41		0	26.7	7.19	0	0	0	2.67	0	1.12	1.0	22.2	20.0	0	0	-0.002497615
